"","branch_code","time_block","tree","treatment","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","exo","guild"
"1","BY7C",1,"Barberry","control",1,1,0,3,0,2,0,0,0,"Non-native",1
"2","AB9B",1,"Beech","bag",9,4,0,1,1,5,0,0,0,"Native",9
"3","BB11C",1,"Sweet Birch","control",2,1,0,10,1,3,0,0,0,"Native",2
"4","BY6B",1,"Barberry","bag",10,1,1,1,1,14,0,0,0,"Non-native",10
"5","HS1C",1,"Honeysuckle","control",3,1,2,9,1,1,0,0,0,"Non-native",3
"6","BY7B",1,"Barberry","bag",8,0,1,0,4,8,0,0,1,"Non-native",8
"7","AB9C",1,"Beech","control",5,0,1,4,2,9,0,0,0,"Native",5
"8","SM1C",1,"Striped Maple","control",1,0,0,1,4,1,0,0,0,"Native",1
"9","BB11B",1,"Sweet Birch","bag",5,3,1,4,0,4,0,0,0,"Native",5
"10","SM1B",1,"Striped Maple","bag",2,1,0,0,1,3,0,0,0,"Native",2
"11","WH4B",1,"Witch-hazel","bag",4,2,0,8,3,2,3,0,0,"Native",4
"12","BB12C",1,"Sweet Birch","control",4,0,0,0,0,7,0,0,0,"Native",4
"13","HS2B",1,"Honeysuckle","bag",8,1,3,4,2,4,0,0,0,"Non-native",8
"14","BY6C",1,"Barberry","control",19,1,0,1,1,2,0,0,0,"Non-native",19
"15","HS2C",1,"Honeysuckle","control",6,0,0,7,0,6,0,0,0,"Non-native",6
"16","HS1B",1,"Honeysuckle","bag",6,0,4,7,3,7,0,0,0,"Non-native",6
"17","MW2C",1,"Musclewood","control",3,2,1,8,2,6,0,0,0,"Native",3
"18","BC4B",1,"Shadbush","bag",5,0,1,2,1,2,0,0,1,"Native",5
"19","AO1C",1,"Autumn Olive","control",7,1,3,4,2,7,0,0,0,"Non-native",7
"20","AO1B",1,"Autumn Olive","bag",6,1,9,5,3,20,1,0,0,"Non-native",6
"21","WE1B",1,"Burning Bush","bag",7,0,4,11,3,1,0,0,0,"Non-native",7
"22","BB12B",1,"Sweet Birch","bag",5,0,0,5,0,5,0,0,0,"Native",5
"23","WH3C",1,"Witch-hazel","control",3,0,2,13,8,1,2,0,1,"Native",3
"24","BC4C",1,"Shadbush","control",1,1,0,1,2,8,0,0,1,"Native",1
"25","SM2B",1,"Striped Maple","bag",9,1,3,13,10,6,3,0,3,"Native",9
"26","SM2C",1,"Striped Maple","control",1,0,1,6,1,3,0,0,0,"Native",1
"27","WH4C",1,"Witch-hazel","control",5,1,0,1,4,0,5,0,1,"Native",5
"28","AO8C",1,"Autumn Olive","control",7,1,0,1,0,2,0,0,0,"Non-native",7
"29","WE1C",1,"Burning Bush","control",2,0,1,5,14,1,0,0,0,"Non-native",2
"30","WE9C",1,"Burning Bush","control",7,0,0,2,3,3,0,0,0,"Non-native",7
"31","WH3B",1,"Witch-hazel","bag",5,1,0,10,3,1,0,0,0,"Native",5
"32","MW1C",1,"Musclewood","control",6,1,1,10,7,29,0,0,1,"Native",6
"33","WE9B",1,"Burning Bush","bag",11,1,0,1,15,1,2,0,0,"Non-native",11
"34","AB1B",1,"Beech","bag",3,1,1,2,1,0,2,0,0,"Native",3
"35","AB1C",1,"Beech","control",6,0,0,4,0,2,0,0,0,"Native",6
"36","AO8B",1,"Autumn Olive","bag",3,0,0,2,8,1,2,0,0,"Non-native",3
"37","MW1B",1,"Musclewood","bag",12,1,1,24,2,34,4,0,3,"Native",12
"38","MW2B",1,"Musclewood","bag",10,1,2,6,3,8,0,0,0,"Native",10
"39","WH1C",1,"Witch-hazel","control",1,0,1,2,8,0,0,0,0,"Native",1
"40","BB1B",1,"Sweet Birch","bag",12,0,1,1,1,15,0,0,0,"Native",12
"41","WH1B",1,"Witch-hazel","bag",11,0,3,4,1,4,2,0,0,"Native",11
"42","WH2B",1,"Witch-hazel","bag",5,1,5,9,1,7,0,0,0,"Native",5
"43","AO3C",1,"Autumn Olive","control",3,1,0,4,1,1,0,0,0,"Non-native",3
"44","MW4B",1,"Musclewood","bag",5,0,3,7,2,3,2,0,0,"Native",5
"45","MW3B",1,"Musclewood","bag",4,0,0,3,0,1,2,0,0,"Native",4
"46","AB10C",1,"Beech","control",2,1,0,3,0,2,0,0,1,"Native",2
"47","MW4C",1,"Musclewood","control",5,1,2,8,4,3,2,0,0,"Native",5
"48","AB10B",1,"Beech","bag",3,1,1,1,2,8,0,0,0,"Native",3
"49","AO2C",1,"Autumn Olive","control",5,0,2,3,1,10,0,0,0,"Non-native",5
"50","BB2B",1,"Sweet Birch","bag",2,0,1,4,3,7,1,0,0,"Native",2
"51","WE7B",1,"Burning Bush","bag",9,2,2,4,0,2,0,0,0,"Non-native",9
"52","HS4B",1,"Honeysuckle","bag",10,1,1,0,1,5,2,0,0,"Non-native",10
"53","SM4B",1,"Striped Maple","bag",10,0,0,3,0,57,0,0,1,"Native",10
"54","BY1B",1,"Barberry","bag",8,0,3,4,2,5,0,0,0,"Non-native",8
"55","AB11B",1,"Beech","bag",5,1,0,3,0,1,0,0,0,"Native",5
"56","BB1C",1,"Sweet Birch","control",2,0,5,3,0,12,0,0,0,"Native",2
"57","AO3B",1,"Autumn Olive","bag",7,1,0,23,15,15,0,0,1,"Non-native",7
"58","AB11C",1,"Beech","control",1,1,0,3,0,4,0,0,0,"Native",1
"59","MW3C",1,"Musclewood","control",3,0,0,3,2,5,0,0,1,"Native",3
"60","WE8B",1,"Burning Bush","bag",10,1,0,2,4,6,0,0,0,"Non-native",10
"61","HS4C",1,"Honeysuckle","control",8,0,0,3,0,1,0,0,0,"Non-native",8
"62","WE7C",1,"Burning Bush","control",3,2,1,2,0,5,0,0,0,"Non-native",3
"63","WE8C",1,"Burning Bush","control",11,0,2,2,1,4,0,0,0,"Non-native",11
"64","HS3B",1,"Honeysuckle","bag",3,2,0,1,1,1,0,0,0,"Non-native",3
"65","WH2C",1,"Witch-hazel","control",3,0,2,3,3,2,0,0,0,"Native",3
"66","SM4C",1,"Striped Maple","control",2,0,1,0,1,14,2,0,0,"Native",2
"67","BY1C",1,"Barberry","control",16,0,1,1,0,5,0,0,0,"Non-native",16
"68","AO2B",1,"Autumn Olive","bag",5,0,0,5,0,1,0,0,0,"Non-native",5
"69","BY2C",1,"Barberry","control",4,0,0,3,0,1,0,0,0,"Non-native",4
"70","SM3C",1,"Striped Maple","control",2,1,0,1,1,5,0,0,0,"Native",2
"71","BB2C",1,"Sweet Birch","control",3,0,0,2,0,5,1,0,0,"Native",3
"72","BY2B",1,"Barberry","bag",11,0,1,0,0,1,0,0,0,"Non-native",11
"73","HS3C",1,"Honeysuckle","control",2,1,2,0,1,3,0,0,1,"Non-native",2
"74","SM3B",1,"Striped Maple","bag",13,1,0,1,0,10,1,0,0,"Native",13
"75","AO5B",1,"Autumn Olive","bag",7,2,2,15,0,42,2,0,1,"Non-native",7
"76","SM6B",1,"Striped Maple","bag",13,0,2,5,2,19,0,0,0,"Native",13
"77","SM5C",1,"Striped Maple","control",4,0,1,4,1,40,0,0,0,"Native",4
"78","BY5B",1,"Barberry","bag",16,2,0,0,1,30,0,0,1,"Non-native",16
"79","WH6B",1,"Witch-hazel","bag",12,1,3,1,0,5,0,0,2,"Native",12
"80","BC3C",1,"Shadbush","control",1,0,1,1,4,67,0,0,0,"Native",1
"81","BC1C",1,"Shadbush","control",1,1,2,0,1,7,0,0,2,"Native",1
"82","MW6C",1,"Musclewood","control",2,1,1,2,2,5,0,0,1,"Native",2
"83","WE3B",1,"Burning Bush","bag",7,0,20,5,0,3,3,0,0,"Non-native",7
"84","AB2C",1,"Beech","control",199,0,1,0,2,1,2,0,0,"Native",199
"85","BB4B",1,"Sweet Birch","bag",11,0,4,7,6,3,6,0,0,"Native",11
"86","AB12B",1,"Beech","bag",5,1,2,1,1,8,1,0,0,"Native",5
"87","HS6B",1,"Honeysuckle","bag",10,1,2,4,0,2,0,0,0,"Non-native",10
"88","WE3C",1,"Burning Bush","control",14,0,14,6,0,1,0,0,0,"Non-native",14
"89","AB12C",1,"Beech","control",3,0,1,1,0,8,1,0,1,"Native",3
"90","BC1B",1,"Shadbush","bag",4,0,5,4,3,7,3,0,2,"Native",4
"91","WE2B",1,"Burning Bush","bag",9,2,1,9,2,3,2,0,0,"Non-native",9
"92","WH5C",1,"Witch-hazel","control",3,0,0,1,1,2,0,0,1,"Native",3
"93","HS6C",1,"Honeysuckle","control",1,0,3,1,1,1,0,0,0,"Non-native",1
"94","BC3B",1,"Shadbush","bag",5,0,2,3,1,5,1,0,0,"Native",5
"95","AB2B",1,"Beech","bag",5,4,4,7,2,2,1,0,0,"Native",5
"96","BB4C",1,"Sweet Birch","control",2,1,0,0,3,1,1,0,0,"Native",2
"97","AO5C",1,"Autumn Olive","control",5,0,2,9,0,50,0,0,0,"Non-native",5
"98","HS5C",1,"Honeysuckle","control",9,1,1,5,2,15,0,0,0,"Non-native",9
"99","BY5C",1,"Barberry","control",6,0,0,0,1,7,0,0,0,"Non-native",6
"100","HS5B",1,"Honeysuckle","bag",13,2,11,0,1,20,0,0,1,"Non-native",13
"101","BY4B",1,"Barberry","bag",10,0,1,2,1,6,0,0,0,"Non-native",10
"102","WH5B",1,"Witch-hazel","bag",17,1,0,3,4,5,0,0,1,"Native",17
"103","AO4C",1,"Autumn Olive","control",10,1,7,7,0,33,0,0,0,"Non-native",10
"104","SM6C",1,"Striped Maple","control",3,0,0,2,0,7,1,0,0,"Native",3
"105","AO4B",1,"Autumn Olive","bag",3,1,6,21,1,47,0,0,0,"Non-native",3
"106","SM5B",1,"Striped Maple","bag",3,0,0,4,0,19,0,0,2,"Native",3
"107","MW5B",1,"Musclewood","bag",15,4,0,6,13,13,2,0,0,"Native",15
"108","BB3C",1,"Sweet Birch","control",2,3,1,8,0,26,3,0,0,"Native",2
"109","BB3B",1,"Sweet Birch","bag",6,1,2,5,2,22,0,0,1,"Native",6
"110","WH6C",1,"Witch-hazel","control",5,2,0,0,3,3,0,0,0,"Native",5
"111","BY4C",1,"Barberry","control",1,0,0,0,1,16,0,0,0,"Non-native",1
"112","MW5C",1,"Musclewood","control",8,1,1,3,3,26,0,0,0,"Native",8
"113","MW6B",1,"Musclewood","bag",13,1,1,3,1,12,1,0,0,"Native",13
"114","WE2C",1,"Burning Bush","control",10,0,0,6,0,0,0,0,0,"Non-native",10
"115","AO7C",1,"Autumn Olive","control",3,1,1,0,0,2,2,0,1,"Non-native",3
"116","BY9C",1,"Barberry","control",10,0,0,2,0,8,0,0,0,"Non-native",10
"117","WE5C",1,"Burning Bush","control",7,0,1,3,2,5,0,0,0,"Non-native",7
"118","WE5B",1,"Burning Bush","bag",8,0,0,2,1,6,0,0,0,"Non-native",8
"119","HS7B",1,"Honeysuckle","bag",8,0,4,0,1,2,0,0,1,"Non-native",8
"120","BY3C",1,"Barberry","control",6,1,0,3,0,5,0,0,0,"Non-native",6
"121","WH7C",1,"Witch-hazel","control",1,0,0,3,0,1,0,0,0,"Native",1
"122","WH7B",1,"Witch-hazel","bag",17,0,4,3,0,1,0,0,0,"Native",17
"123","BY3B",1,"Barberry","bag",7,0,0,0,0,4,0,0,0,"Non-native",7
"124","HS8C",1,"Honeysuckle","control",5,2,0,0,0,5,0,0,1,"Non-native",5
"125","MW7B",1,"Musclewood","bag",9,1,1,10,1,6,0,0,0,"Native",9
"126","WE4C",1,"Burning Bush","control",2,0,0,3,0,7,1,0,1,"Non-native",2
"127","WE4B",1,"Burning Bush","bag",5,1,3,0,1,14,2,1,0,"Non-native",5
"128","MW7C",1,"Musclewood","control",2,0,1,0,0,15,0,0,0,"Native",2
"129","HS7C",1,"Honeysuckle","control",4,0,3,1,0,2,0,0,0,"Non-native",4
"130","AO6B",1,"Autumn Olive","bag",1,2,3,13,0,0,0,0,0,"Non-native",1
"131","AO7B",1,"Autumn Olive","bag",4,1,1,9,0,3,4,2,1,"Non-native",4
"132","BY9B",1,"Barberry","bag",18,0,1,2,1,8,0,0,0,"Non-native",18
"133","HS8B",1,"Honeysuckle","bag",7,0,0,2,2,2,1,1,0,"Non-native",7
"134","AO6C",1,"Autumn Olive","control",2,0,0,3,0,0,1,0,0,"Non-native",2
"135","MW8C",1,"Musclewood","control",1,0,0,2,3,83,3,0,1,"Native",1
"136","WH8C",1,"Witch-hazel","control",1,3,0,3,0,2,6,0,1,"Native",1
"137","BB6C",1,"Sweet Birch","control",2,0,2,1,0,0,0,0,1,"Native",2
"138","SM7B",1,"Striped Maple","bag",6,1,3,2,1,1,3,0,2,"Native",6
"139","AB3B",1,"Beech","bag",4,2,0,2,0,4,2,0,0,"Native",4
"140","SM7C",1,"Striped Maple","control",1,1,1,5,0,3,8,0,0,"Native",1
"141","BC8B",1,"Shadbush","bag",0,5,0,10,0,10,0,0,3,"Native",0
"142","AB3C",1,"Beech","control",1,0,1,1,0,5,2,0,0,"Native",1
"143","BB5C",1,"Sweet Birch","control",0,0,1,0,0,2,3,0,1,"Native",0
"144","SM8C",1,"Striped Maple","control",2,0,2,1,1,4,0,0,0,"Native",2
"145","AB4B",1,"Beech","bag",2,1,0,1,0,3,0,0,0,"Native",2
"146","BC2C",1,"Shadbush","control",0,2,0,1,2,1,0,0,0,"Native",0
"147","MW8B",1,"Musclewood","bag",2,0,0,2,2,23,1,0,1,"Native",2
"148","BB5B",1,"Sweet Birch","bag",4,1,1,5,1,3,7,0,0,"Native",4
"149","BB6B",1,"Sweet Birch","bag",2,1,1,1,1,4,1,0,1,"Native",2
"150","SM8B",1,"Striped Maple","bag",1,0,0,3,1,5,3,0,0,"Native",1
"151","BC2B",1,"Shadbush","bag",3,2,0,1,1,5,1,0,2,"Native",3
"152","AB4C",1,"Beech","control",1,1,2,1,0,3,1,0,1,"Native",1
"153","BC8C",1,"Shadbush","control",3,1,0,0,0,2,1,0,2,"Native",3
"154","WH8B",1,"Witch-hazel","bag",3,1,2,0,0,2,1,0,1,"Native",3
"155","HS9C",1,"Honeysuckle","control",3,0,1,1,2,4,1,0,2,"Non-native",3
"156","MW9B",1,"Musclewood","bag",6,0,1,2,1,0,1,0,0,"Native",6
"157","BY10B",1,"Barberry","bag",15,0,1,4,1,12,2,0,0,"Non-native",15
"158","WE6B",1,"Burning Bush","bag",13,2,0,1,0,8,0,0,0,"Non-native",13
"159","SM10B",1,"Striped Maple","bag",6,1,1,2,1,2,1,0,0,"Native",6
"160","BB7B",1,"Sweet Birch","bag",5,2,0,1,0,4,0,1,1,"Native",5
"161","WH9C",1,"Witch-hazel","control",5,2,0,4,0,1,0,0,0,"Native",5
"162","BY10C",1,"Barberry","control",13,0,0,1,1,2,0,0,0,"Non-native",13
"163","BB7C",1,"Sweet Birch","control",1,0,0,5,0,7,0,0,0,"Native",1
"164","AO9B",1,"Autumn Olive","bag",7,0,0,9,2,2,1,0,1,"Non-native",7
"165","AO10B",1,"Autumn Olive","bag",15,3,1,14,27,3,0,0,0,"Non-native",15
"166","HS10B",1,"Honeysuckle","bag",7,0,0,1,3,6,0,0,1,"Non-native",7
"167","SM10C",1,"Striped Maple","control",7,0,1,0,2,5,0,0,0,"Native",7
"168","BC9B",1,"Shadbush","bag",5,0,1,1,0,5,1,0,0,"Native",5
"169","MW10B",1,"Musclewood","bag",3,5,0,9,0,10,7,0,0,"Native",3
"170","WH10B",1,"Witch-hazel","bag",13,2,1,5,0,0,1,0,0,"Native",13
"171","AB5B",1,"Beech","bag",3,2,1,3,0,2,0,0,0,"Native",3
"172","BC9C",1,"Shadbush","control",2,1,0,1,0,15,0,0,0,"Native",2
"173","HS9B",1,"Honeysuckle","bag",8,1,0,13,0,12,0,0,0,"Non-native",8
"174","AO9C",1,"Autumn Olive","control",0,3,3,15,15,104,0,0,0,"Non-native",0
"175","SM9B",1,"Striped Maple","bag",8,0,2,7,1,3,1,0,0,"Native",8
"176","AB6B",1,"Beech","bag",8,0,3,2,0,4,0,0,2,"Native",8
"177","WE10B",1,"Burning Bush","bag",3,1,0,2,1,0,3,0,0,"Non-native",3
"178","WE6C",1,"Burning Bush","control",16,2,0,2,0,1,0,0,0,"Non-native",16
"179","WH9B",1,"Witch-hazel","bag",6,0,0,4,1,1,0,0,2,"Native",6
"180","BY8C",1,"Barberry","control",5,2,1,2,0,1,0,0,2,"Non-native",5
"181","BB8B",1,"Sweet Birch","bag",2,0,2,3,0,0,0,0,0,"Native",2
"182","BY8B",1,"Barberry","bag",30,1,0,4,1,10,0,0,0,"Non-native",30
"183","BB8C",1,"Sweet Birch","control",1,0,1,2,2,1,0,0,0,"Native",1
"184","AB5C",1,"Beech","control",0,0,1,3,1,0,0,0,0,"Native",0
"185","MW10C",1,"Musclewood","control",2,1,0,13,0,4,1,0,0,"Native",2
"186","BC10B",1,"Shadbush","bag",8,1,13,1,3,58,0,0,0,"Native",8
"187","AO10C",1,"Autumn Olive","control",1,0,2,1,2,3,0,0,0,"Non-native",1
"188","MW9C",1,"Musclewood","control",1,1,2,3,1,2,1,0,2,"Native",1
"189","BC10C",1,"Shadbush","control",4,1,1,2,1,3,0,0,2,"Native",4
"190","HS10C",1,"Honeysuckle","control",3,0,0,1,10,8,0,0,1,"Non-native",3
"191","AB6C",1,"Beech","control",1,1,0,5,0,0,0,0,0,"Native",1
"192","SM9C",1,"Striped Maple","control",1,0,0,1,1,2,0,0,0,"Native",1
"193","WE10C",1,"Burning Bush","control",6,0,2,2,0,1,1,0,1,"Non-native",6
"194","WH10C",1,"Witch-hazel","control",1,0,0,1,0,2,0,0,0,"Native",1
"195","MW12B",1,"Musclewood","bag",5,0,0,7,0,10,4,0,0,"Native",5
"196","WE12B",1,"Burning Bush","bag",33,2,0,2,2,7,1,0,0,"Non-native",33
"197","AO12C",1,"Autumn Olive","control",6,0,0,4,2,3,0,0,0,"Non-native",6
"198","BC11B",1,"Shadbush","bag",3,0,1,1,4,9,0,0,1,"Native",3
"199","SM12C",1,"Striped Maple","control",2,2,0,0,11,1,0,0,1,"Native",2
"200","HS12C",1,"Honeysuckle","control",1,0,0,0,5,3,0,3,0,"Non-native",1
"201","WE12C",1,"Burning Bush","control",9,1,1,1,1,2,0,0,0,"Non-native",9
"202","HS11C",1,"Honeysuckle","control",22,0,1,3,0,20,0,0,0,"Non-native",22
"203","SM12B",1,"Striped Maple","bag",6,1,2,3,0,5,0,0,1,"Native",6
"204","BB9B",1,"Sweet Birch","bag",4,2,1,2,1,2,0,0,0,"Native",4
"205","AO11B",1,"Autumn Olive","bag",25,0,1,3,1,3,3,0,1,"Non-native",25
"206","AO12B",1,"Autumn Olive","bag",9,0,1,20,0,5,0,0,0,"Non-native",9
"207","HS12B",1,"Honeysuckle","bag",8,1,0,1,7,9,0,33,0,"Non-native",8
"208","WH11B",1,"Witch-hazel","bag",9,0,0,3,1,0,0,0,1,"Native",9
"209","AB8C",1,"Beech","control",1,0,0,0,0,1,0,0,0,"Native",1
"210","AB7C",1,"Beech","control",0,0,1,1,0,1,0,0,0,"Native",0
"211","MW12C",1,"Musclewood","control",7,1,0,4,1,18,1,0,1,"Native",7
"212","AB8B",1,"Beech","bag",4,2,0,0,0,2,0,1,0,"Native",4
"213","BY12C",1,"Barberry","control",11,0,0,0,0,0,0,1,0,"Non-native",11
"214","WE11B",1,"Burning Bush","bag",7,1,0,0,1,2,1,1,0,"Non-native",7
"215","BB10B",1,"Sweet Birch","bag",1,1,1,5,1,1,0,0,1,"Native",1
"216","WE11C",1,"Burning Bush","control",13,0,0,1,6,15,4,0,2,"Non-native",13
"217","MW11B",1,"Musclewood","bag",4,1,0,0,2,0,2,0,1,"Native",4
"218","BC11C",1,"Shadbush","control",2,0,0,5,1,4,0,0,1,"Native",2
"219","AB7B",1,"Beech","bag",8,3,0,2,1,4,0,0,0,"Native",8
"220","WH11C",1,"Witch-hazel","control",1,1,0,4,0,1,0,0,1,"Native",1
"221","MW11C",1,"Musclewood","control",1,2,0,3,1,2,2,0,0,"Native",1
"222","SM11C",1,"Striped Maple","control",0,0,0,2,1,1,0,0,0,"Native",0
"223","BB9C",1,"Sweet Birch","control",0,0,0,0,0,2,0,0,0,"Native",0
"224","BY11B",1,"Barberry","bag",16,1,0,1,2,7,1,0,0,"Non-native",16
"225","BY12B",1,"Barberry","bag",5,0,1,0,0,2,0,5,0,"Non-native",5
"226","WH12C",1,"Witch-hazel","control",1,2,0,1,0,0,0,0,2,"Native",1
"227","BC12B",1,"Shadbush","bag",3,2,0,0,0,0,0,0,0,"Native",3
"228","BB10C",1,"Sweet Birch","control",0,0,0,0,0,0,0,0,1,"Native",0
"229","WH12B",1,"Witch-hazel","bag",4,2,0,1,0,3,0,0,0,"Native",4
"230","SM11B",1,"Striped Maple","bag",6,0,1,3,1,2,0,0,1,"Native",6
"231","AO11C",1,"Autumn Olive","control",0,0,1,2,1,1,2,0,0,"Non-native",0
"232","BC12C",1,"Shadbush","control",1,0,0,1,2,0,0,0,0,"Native",1
